feature,importance
LTExternalDate,89459
LTScheduledTime,54263
NbOfSeats,46770
flightNumber,38889
SysStopover,14108
IdBusContactType,13761
LTExternalTime,10406
IdAircraftType,9502
Direction,7740
OperatorFlightNumber,7641
IdBagStatusDelivery,7519
FlightNumberNormalized,4806
AirportOrigin,4628
LTExternalDatetime,4313
AirportPrevious,3086
IdTerminalType,2229
airlineOACICode,2078
OperatorOACICodeNormalized,2001
IdBusinessUnitType,1959
etl_origin,1480
Terminal,872
FuelProvider,809
ScheduleType,325
SysTerminal,217
ServiceCode,69
NbFlight,0
AirportCode,0
IdMovement,0
IdADL,0
